Activity,Count,Total Time (seconds)
completing her morning routine and stretching,360,3600
making a cup of tea,30,300
choosing a book or music to enjoy,60,600
settling into her favorite chair,30,300
sipping her tea and starting to read or listen to music,180,1800
taking a break to stretch or get up and move around,60,600
waking up and getting out of bed,60,600
stretching and doing light exercises,120,1200
taking her medication,120,1200
taking a shower and getting dressed,120,1200
preparing her bag with necessary items for the day,30,300
checking the weather and dressing accordingly,30,300
making breakfast and eating,180,1800
cleaning up after breakfast,120,1200
turning on the furnace and TV in the Cafe,30,300
preparing the cash register for the day,60,600
checking inventory and restocking items if needed,90,900
greeting customers and taking their orders,180,1800
making and serving drinks and food,360,3600
cleaning and organizing the counter area,120,1200
taking a break and enjoying a cup of coffee,90,900
restocking items and preparing for the next day,120,1200
turning off the furnace and TV in the Cafe,30,300
washing her hands,30,300
preparing her lunch,90,900
setting the table,30,300
enjoying her lunch,180,1800
cleaning up after her lunch,30,300
turning on the lights and unlocking the door to Hobbs Cafe,30,300
checking the inventory and restocking any items that are low,60,600
preparing the coffee machine and making sure it is clean and ready for use,90,900
"setting up the counter with menus, napkins, and other necessary items",60,600
turning on the TV and adjusting the volume to a comfortable level,30,300
greeting customers as they come in and taking their orders,180,1800
making and serving coffee and other drinks to customers,180,1800
cleaning and wiping down the counter and tables,60,600
"closing the cafe by turning off the lights, locking the door, and setting the alarm",30,300
sitting down in a comfortable chair,30,300
taking deep breaths and relaxing her body,60,600
reading a book,300,3000
knitting a scarf,180,1800
taking a break and having a cup of tea,60,600
checking her phone for any important messages,30,300
continuing to knit,180,1800
setting the table for dinner,30,300
heating up leftovers in the microwave,60,600
pouring herself a glass of water,30,300
sitting down at the table to eat,30,300
eating her dinner,210,2100
turning on the TV,30,300
selecting a channel to watch,30,300
adjusting the volume,30,300
getting comfortable on the couch,30,300
watching the news,180,1800
taking a break to stretch,30,300
watching a cooking show,180,1800
taking a break to get a snack,30,300
watching a movie,180,1800
turning off the TV in the cafe,30,300
closing the cafe and locking the door,60,600
turning off the furnace in the cafe,30,300
walking back to her apartment,60,600
changing into her pajamas,60,600
brushing her teeth,60,600
washing her face,60,600
setting her alarm for the next day,30,300
getting into bed and turning off the lights,30,300
turning off the lights in her home,30,300
getting into bed,30,300
turning off the TV,30,300
turning off her phone,30,300
sleeping,361,3610
